date,block,primary_type,description,location_description,arrest,domestic,fbi_code,year,longitude,latitude
2020-08-26 00:01:00 UTC,058XX N MEDINA AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.781221625,41.987761417
2020-05-03 00:00:00 UTC,054XX N LONG AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.763518372,41.979889609
2020-05-09 07:00:00 UTC,061XX W 64TH PL,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,false,false,06,2020,-87.774665135,41.77507496
2020-08-17 23:00:00 UTC,052XX W CARMEN AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.758939063,41.973387721
2020-09-06 15:00:00 UTC,029XX N NORDICA AVE,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,06,2020,-87.802919818,41.933229155
2020-05-13 18:30:00 UTC,037XX S WELLS ST,THEFT,OVER $500,STREET,false,false,06,2020,-87.632815315,41.826035531
2020-06-28 21:00:00 UTC,076XX W MYRTLE AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.817728355,41.993257684
2020-07-28 15:45:00 UTC,063XX N SPOKANE AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.760988748,41.997055712
2020-09-16 08:54:00 UTC,051XX S PULASKI RD,THEFT,OVER $500,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,06,2020,-87.723371159,41.800385396
2020-08-08 21:40:00 UTC,067XX N RAVENSWOOD AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.67518066,42.003821259
2020-08-19 11:20:00 UTC,073XX N PAULINA ST,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),false,false,06,2020,-87.67242344,42.014274481
2020-05-23 20:00:00 UTC,017XX W ESTES AVE,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),false,false,06,2020,-87.673696656,42.011425111
2020-09-09 11:30:00 UTC,016XX W PRATT BLVD,THEFT,OVER $500,ALLEY,false,false,06,2020,-87.671776202,42.005357643
2020-10-14 12:00:00 UTC,074XX N WOLCOTT AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.677653464,42.017040425
2020-08-09 13:25:00 UTC,021XX W BIRCHWOOD AVE,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),false,false,06,2020,-87.68349535,42.017949041
2020-09-14 18:15:00 UTC,021XX W BIRCHWOOD AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.683462232,42.017948853
2020-07-02 22:00:00 UTC,072XX N ROGERS AVE,THEFT,OVER $500,APARTMENT,false,false,06,2020,-87.681754211,42.012950247
2020-07-03 16:00:00 UTC,012XX W LOYOLA AVE,THEFT,OVER $500,CTA TRAIN,false,false,06,2020,-87.661345692,42.001136868
2020-09-19 02:00:00 UTC,069XX N GLENWOOD AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.666161921,42.007440916
2020-08-21 01:00:00 UTC,013XX W PRATT BLVD,THEFT,OVER $500,VEHICLE - COMMERCIAL,false,false,06,2020,-87.665247909,42.005476251
2020-09-18 13:00:00 UTC,067XX N SHERIDAN RD,THEFT,OVER $500,CONSTRUCTION SITE,false,false,06,2020,-87.660835633,42.00415523
2020-07-21 19:00:00 UTC,066XX N CLARK ST,THEFT,OVER $500,STREET,false,false,06,2020,-87.672276112,42.002915452
2020-08-02 01:30:00 UTC,064XX N SHERIDAN RD,THEFT,OVER $500,STREET,false,false,06,2020,-87.66068692,41.999760915
2020-09-25 12:45:00 UTC,070XX N SHERIDAN RD,THEFT,OVER $500,STREET,false,false,06,2020,-87.662680653,42.010996301
2020-06-13 16:45:00 UTC,073XX N WESTERN AVE,THEFT,OVER $500,RESTAURANT,false,false,06,2020,-87.690227788,42.014493615
2020-07-11 14:00:00 UTC,025XX W DEVON AVE,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,06,2020,-87.693921616,41.997662197
2020-05-08 19:50:00 UTC,063XX N ARTESIAN AVE,THEFT,OVER $500,APARTMENT,false,false,06,2020,-87.691073193,41.996663875
2020-08-27 17:00:00 UTC,031XX W ALBION AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.707367716,42.001048545
2020-10-04 00:45:00 UTC,073XX N WESTERN AVE,THEFT,OVER $500,BAR OR TAVERN,false,false,06,2020,-87.690227788,42.014493615
2020-05-08 19:30:00 UTC,064XX N MAPLEWOOD AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.693558686,41.998269385
2020-09-21 12:00:00 UTC,024XX W GREENLEAF AVE,THEFT,OVER $500,CHA APARTMENT,false,false,06,2020,-87.690800558,42.009502407
2020-07-13 22:15:00 UTC,065XX N BELL AVE,THEFT,OVER $500,SIDEWALK,false,false,06,2020,-87.686285409,41.999735178
2020-07-19 21:30:00 UTC,031XX W JARVIS AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.707612157,42.015525464
2020-07-18 19:00:00 UTC,061XX N WASHTENAW AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.697063766,41.993557879
2020-05-31 13:30:00 UTC,073XX N WASHTENAW AVE,THEFT,OVER $500,SIDEWALK,false,false,06,2020,-87.697296979,42.015205329
